prefix,longueur_moyenne,entropie,profondeur_maximale,variance_longueur,balancedness,00_ngrams,11_ngrams,nombre,code
2,3.7,0.99,6,2.41,5,9,9,10,1
2,4.89,0.99,7,2.77,5,13,13,9,1
1,7.0,0.99,7,0.0,0,2,2,1,0
2,3.67,0.68,7,5.89,6,8,8,6,1
1,4.88,1.0,7,2.36,4,15,15,8,1
1,3.6,0.85,6,3.04,5,5,5,5,1
1,4.0,0.92,5,0.67,2,3,3,3,0
2,4.4,0.99,7,4.64,6,7,7,5,1
1,4.11,1.0,7,2.99,5,8,8,9,1
2,3.89,1.0,6,2.54,5,10,10,9,1
1,5.25,0.99,7,1.19,3,4,4,4,0
2,4.4,0.99,7,4.44,6,11,11,10,1
1,3.0,0.76,4,0.67,2,2,2,3,0
1,1.67,0.97,2,0.22,1,2,2,3,1
1,4.75,1.0,7,5.19,5,7,7,4,0
2,4.33,0.98,7,1.89,4,6,6,6,1
1,5.5,1.0,7,2.58,4,9,9,6,0
1,2.67,1.0,5,2.89,4,2,2,3,0
2,4.1,0.95,6,2.49,5,13,13,10,1
1,4.5,0.85,7,3.25,5,6,6,4,1
2,3.89,0.95,7,4.32,6,10,10,9,1
2,3.33,0.99,6,2.22,5,10,10,9,1
1,4.0,1.0,7,5.2,6,6,6,5,1
2,4.22,0.95,7,5.06,6,11,11,9,1
2,2.71,0.9,5,2.49,4,6,6,7,1
2,3.22,0.98,7,3.73,6,6,6,9,1
1,3.75,0.92,7,5.69,6,3,3,4,1
2,3.33,0.99,6,2.89,5,5,5,6,1
2,4.33,0.99,7,4.22,6,10,10,9,1
1,4.25,1.0,7,3.44,5,9,9,8,1
2,3.57,1.0,7,4.82,6,7,7,7,1
2,4.4,1.0,7,4.04,6,10,10,10,1
1,3.33,0.88,6,3.56,4,2,2,3,1
2,4.0,0.99,7,4.67,6,12,12,9,1
2,4.38,0.99,7,4.48,6,11,11,8,1
1,3.67,0.95,6,2.89,4,3,3,3,0
2,3.11,0.99,6,2.54,5,6,6,9,1
1,5.8,0.93,7,1.36,3,11,11,5,0
2,3.5,0.86,6,3.75,5,8,8,8,1
1,3.25,0.96,4,0.19,1,4,4,4,0
2,3.75,1.0,7,3.44,6,8,8,8,1
2,2.75,0.85,6,3.69,5,5,5,4,1
1,4.0,0.81,4,0.0,0,2,2,2,0
2,4.4,1.0,7,5.24,6,13,13,10,1
1,4.0,1.0,7,9.0,6,1,1,2,0
2,4.67,0.99,7,3.33,6,12,12,9,1
1,2.0,0.81,3,1.0,2,1,1,2,0
1,6.0,0.92,6,0.0,0,3,3,1,0
1,4.17,0.94,6,2.14,4,8,8,6,1
2,5.0,0.99,7,4.25,6,11,11,8,1
2,3.67,1.0,6,2.89,5,3,3,6,1
2,4.71,0.99,7,4.2,6,10,10,7,1
1,5.0,0.88,6,1.0,2,4,4,2,0
2,2.0,0.65,3,0.67,2,2,2,3,1
1,6.0,1.0,6,0.0,0,1,1,1,0
1,4.0,0.95,4,0.0,0,2,2,2,0
1,5.0,0.99,7,1.5,4,11,11,8,1
1,4.25,0.94,6,1.69,3,4,4,4,0
1,3.0,0.92,3,0.0,0,0,0,1,0
2,3.89,0.97,7,4.1,6,10,10,9,1
1,3.0,0.92,7,8.0,6,2,2,3,1
1,4.0,1.0,4,0.0,0,2,2,1,0
2,3.5,0.59,6,6.25,5,2,2,2,0
1,1.0,-0.0,1,0.0,0,0,0,1,0
1,3.0,0.92,3,0.0,0,1,1,1,0
2,4.86,0.99,7,6.41,6,10,10,7,1
2,3.89,1.0,6,2.32,5,11,11,9,1
2,4.33,1.0,7,5.11,6,13,13,9,1
2,4.33,0.93,7,3.22,6,8,8,6,1
1,3.5,0.86,4,0.25,1,1,1,2,0
1,2.0,1.0,2,0.0,0,0,0,1,0
1,4.0,0.99,7,3.0,5,7,7,6,1
1,5.75,0.83,7,2.69,4,8,8,4,0
2,4.5,1.0,7,4.58,6,10,10,6,1
2,4.2,1.0,6,3.36,5,12,12,10,1
1,3.67,0.99,6,2.89,4,2,2,3,0
1,5.67,0.94,7,1.56,3,6,6,3,0
1,3.4,0.98,5,1.04,3,4,4,5,1
2,4.2,0.99,7,5.36,6,6,6,5,1
1,4.4,0.95,6,1.04,3,9,9,5,0
1,3.2,0.95,7,4.56,6,6,6,5,1
1,3.67,0.85,6,4.22,5,2,2,3,0
1,5.67,0.96,7,1.89,3,10,10,6,1
2,3.14,0.9,5,2.69,4,6,6,7,1
2,4.25,0.94,7,4.69,6,4,4,4,0
1,4.17,1.0,7,1.81,4,9,9,6,1
1,3.67,0.99,7,6.22,6,2,2,3,0
1,5.44,1.0,7,4.25,5,13,13,9,1
2,3.83,0.99,6,3.14,5,8,8,6,1
2,4.22,1.0,7,5.51,6,6,6,9,1
2,4.33,1.0,6,4.22,5,9,9,6,1
1,5.5,0.95,7,2.25,3,4,4,2,0
2,4.75,0.74,7,5.19,6,6,6,4,1
1,3.0,0.92,4,0.67,2,3,3,3,0
2,3.62,0.98,7,4.48,6,6,6,8,1
1,4.0,1.0,7,2.86,6,8,8,7,1
1,3.0,0.99,4,0.67,2,2,2,3,0
1,3.67,0.99,5,0.89,2,3,3,3,0
1,7.0,0.99,7,0.0,0,3,3,1,0
1,3.5,0.94,7,5.25,6,4,4,4,0
1,4.33,1.0,7,3.56,5,7,7,6,1
2,4.0,0.99,7,3.75,6,9,9,8,1
1,6.0,0.65,6,0.0,0,4,4,2,0
1,4.33,0.89,6,1.56,3,5,5,3,0
1,5.67,1.0,7,1.56,3,6,6,3,0
1,2.0,1.0,2,0.0,0,0,0,1,0
2,4.0,0.99,7,4.44,6,9,9,9,1
1,4.0,0.92,7,6.0,6,3,3,3,0
1,5.0,0.97,5,0.0,0,2,2,1,0
1,6.0,0.92,6,0.0,0,3,3,1,0
2,3.62,1.0,7,4.48,6,9,9,8,1
1,4.0,0.98,7,4.67,5,4,4,3,0
1,5.0,0.86,7,2.0,4,6,6,5,1
2,3.57,0.99,6,4.24,5,7,7,7,1
1,3.0,0.98,4,1.5,3,3,3,4,0
2,4.12,1.0,7,4.36,6,9,9,8,1
2,4.14,0.98,7,5.27,6,9,9,7,1
1,3.6,0.99,7,4.64,6,6,6,5,1
1,2.0,-0.0,2,0.0,0,1,1,1,0
2,4.0,0.99,6,2.44,5,8,8,9,1
1,1.0,-0.0,1,0.0,0,0,0,1,0
1,5.4,1.0,7,2.64,4,11,11,5,0
1,5.4,0.83,6,0.64,2,9,9,5,0
1,4.2,1.0,6,1.36,3,6,6,5,0
1,4.2,1.0,7,4.16,5,5,5,5,1
1,1.0,-0.0,1,0.0,0,0,0,1,0
1,6.0,1.0,6,0.0,0,2,2,1,0
2,3.75,1.0,6,5.19,5,3,3,4,0
2,3.17,0.98,6,3.14,5,6,6,6,1
2,3.25,0.89,6,2.69,4,3,3,4,1
1,3.25,1.0,5,2.19,4,3,3,4,0
2,4.25,1.0,7,4.69,6,5,5,4,1
2,4.0,0.81,6,3.5,5,5,5,4,1
2,4.62,0.99,7,2.73,5,10,10,8,1
1,4.0,0.81,4,0.0,0,1,1,1,0
2,4.0,0.98,7,5.4,6,12,12,10,1
2,3.71,0.93,6,2.2,5,8,8,7,1
1,2.5,0.72,3,0.25,1,2,2,2,0
1,4.75,0.95,7,3.19,5,5,5,4,0
1,3.33,0.88,7,6.89,6,3,3,3,0
1,4.5,1.0,6,2.25,3,6,6,4,0
1,5.0,0.97,7,2.5,4,6,6,4,0
1,5.33,1.0,7,1.56,3,2,2,3,0
1,3.89,0.99,7,2.54,5,11,11,9,1
2,4.0,1.0,7,9.0,6,1,1,2,0
1,5.0,0.88,6,1.0,2,3,3,2,0
2,2.8,0.94,7,4.96,6,4,4,5,1
2,3.38,0.98,6,2.48,5,4,4,8,1
2,5.62,0.99,7,3.48,6,17,17,8,1
2,3.0,0.92,5,4.0,4,1,1,2,0
2,3.8,0.83,6,3.36,4,7,7,5,1
2,3.0,0.98,5,4.0,4,1,1,4,1
2,3.0,1.0,7,4.8,6,2,2,5,1
2,4.38,0.99,7,3.23,6,8,8,8,1
2,4.25,0.98,6,3.69,5,4,4,4,0
2,3.5,1.0,6,3.0,5,7,7,8,1
2,4.78,0.78,7,2.62,5,16,16,9,1
2,4.14,1.0,7,4.41,6,6,6,7,1
1,5.0,0.99,7,5.2,6,7,7,5,0
1,4.5,0.92,7,6.25,5,3,3,2,0
2,3.88,0.98,7,5.11,6,8,8,8,1
2,4.43,0.94,7,3.96,6,8,8,7,1
2,3.25,1.0,7,4.19,6,8,8,8,1
1,1.0,-0.0,1,0.0,0,0,0,1,0
1,4.22,1.0,7,3.28,6,14,14,9,1
3,4.0,0.81,7,3.11,6,13,13,9,1
1,5.0,0.72,5,0.0,0,1,1,1,0
2,2.67,0.81,4,1.56,3,2,2,3,1
1,6.0,1.0,6,0.0,0,2,2,1,0
2,4.7,0.99,7,3.21,5,14,14,10,1
2,4.2,0.92,7,6.16,6,3,3,5,1
1,4.75,0.98,7,3.19,5,5,5,4,0
1,4.22,0.99,7,2.84,5,10,10,9,1
2,4.78,0.97,7,5.51,6,13,13,9,1
2,3.33,1.0,6,2.56,5,4,4,6,1
2,3.89,1.0,6,2.32,5,10,10,9,1
1,4.0,0.95,7,6.5,6,4,4,4,1
2,4.5,0.99,6,2.92,5,7,7,6,1
1,6.0,0.98,6,0.0,0,3,3,2,0
1,5.14,0.99,7,2.12,4,13,13,7,1
2,4.0,0.95,6,4.75,5,10,10,8,1
1,2.0,0.65,3,0.67,2,2,2,3,1
2,4.0,0.99,7,4.22,6,10,10,9,1
2,3.0,0.95,5,1.75,4,6,6,8,1
1,3.5,1.0,5,1.25,3,9,9,8,1
1,6.4,0.97,7,0.24,1,9,9,5,1
1,6.0,0.96,7,2.0,3,6,6,3,0
2,4.0,0.98,7,3.56,6,13,13,9,1
2,3.25,0.98,6,2.19,4,9,9,8,1
1,4.25,1.0,6,1.94,4,10,10,8,1
2,3.62,0.99,5,1.98,4,6,6,8,1
2,3.9,0.99,6,2.69,5,10,10,10,1
2,3.83,0.93,6,2.81,4,6,6,6,1
2,3.89,0.95,7,1.65,5,8,8,9,1
2,4.6,0.98,7,6.04,6,15,15,10,1
1,4.83,0.96,7,2.47,5,9,9,6,0
2,3.62,0.99,7,2.98,6,9,9,8,1
2,4.44,1.0,7,4.69,6,11,11,9,1
1,4.2,0.96,7,2.96,5,7,7,5,0
2,4.0,0.95,7,3.75,5,9,9,8,1
2,3.62,0.93,7,4.48,6,8,8,8,1
1,1.0,-0.0,1,0.0,0,0,0,1,0
1,4.67,0.94,6,1.56,3,3,3,3,0
1,6.0,1.0,6,0.0,0,2,2,1,0
2,3.17,0.98,6,2.81,5,4,4,6,1
1,6.0,0.92,6,0.0,0,3,3,1,0
1,5.0,0.97,7,4.0,4,3,3,2,0
2,4.33,1.0,7,4.44,6,10,10,9,1
1,4.71,1.0,7,4.78,6,11,11,7,1
1,3.62,0.93,7,3.48,6,8,8,8,1
2,3.67,1.0,7,4.0,6,9,9,9,1
1,3.6,0.99,5,1.84,3,5,5,5,1
1,5.5,0.85,7,2.25,3,2,2,2,0
2,3.67,0.99,7,4.56,6,6,6,6,1
2,4.25,0.96,6,1.94,5,11,11,8,1
1,4.88,1.0,6,1.61,3,12,12,8,1
1,5.0,1.0,7,2.4,5,15,15,10,1
1,5.0,0.47,5,0.0,0,4,4,2,0
2,3.71,0.89,7,3.92,6,6,6,7,1
1,3.33,0.97,6,4.22,5,2,2,3,0
1,4.29,1.0,7,2.2,4,9,9,7,1
1,5.0,0.72,5,0.0,0,2,2,1,0
2,3.75,0.92,6,2.19,4,5,5,4,1
2,4.0,1.0,7,5.11,6,7,7,9,1
1,4.33,0.78,5,0.22,1,3,3,3,0
1,4.17,1.0,7,3.81,6,7,7,6,1
1,4.75,0.83,7,3.19,4,8,8,4,0
2,4.75,0.99,7,4.94,6,10,10,8,1
1,4.44,1.0,7,3.58,5,10,10,9,1
2,3.86,0.92,7,3.27,6,7,7,7,1
1,4.71,1.0,7,2.49,4,9,9,7,1
1,4.75,0.97,7,4.69,6,13,13,8,1
1,6.0,1.0,6,0.0,0,1,1,1,0
1,4.0,1.0,6,4.0,4,3,3,4,1
1,4.2,0.96,6,2.56,4,6,6,5,1
1,4.71,0.99,7,3.92,6,7,7,7,1
1,4.33,0.96,5,0.22,1,5,5,3,0
1,4.4,0.99,7,3.84,6,3,3,5,1
2,3.88,1.0,7,4.11,6,9,9,8,1
2,3.89,0.97,6,2.77,5,10,10,9,1
2,3.25,0.96,5,3.19,4,5,5,4,1
1,3.86,1.0,6,2.41,5,7,7,7,1
2,3.8,0.95,6,1.76,4,5,5,5,1
1,6.5,0.89,7,0.25,1,5,5,2,0
1,5.5,0.99,7,2.25,3,3,3,2,0
1,4.0,0.65,5,0.67,2,4,4,3,1
2,3.44,0.98,7,3.14,6,9,9,9,1
1,5.22,1.0,7,3.28,6,14,14,9,1
2,3.5,1.0,6,6.25,5,2,2,4,1
1,2.67,1.0,4,1.56,3,2,2,3,0
1,4.67,0.99,7,3.11,5,11,11,9,1
1,4.0,0.81,4,0.0,0,1,1,1,0
1,3.67,0.95,7,6.22,6,3,3,3,0
2,3.86,0.98,7,5.27,6,7,7,7,1
1,4.25,1.0,5,0.69,2,4,4,4,0
2,3.75,1.0,7,5.94,6,9,9,8,1
2,4.5,0.99,7,4.75,6,5,5,4,0
1,4.0,1.0,7,4.0,6,8,8,7,1
2,4.44,0.99,7,3.8,5,12,12,9,1
2,3.38,0.99,7,3.23,6,6,6,8,1
2,4.0,0.95,7,9.0,6,2,2,2,0
2,2.43,0.98,4,1.39,3,5,5,7,1
2,4.67,1.0,7,4.0,6,9,9,9,1
1,4.4,0.99,6,1.84,4,7,7,5,0
1,4.75,0.97,7,3.69,5,8,8,8,1
1,3.75,0.97,6,3.19,4,3,3,4,0
1,4.33,1.0,6,1.56,3,4,4,3,0
1,5.0,0.99,7,2.0,4,5,5,4,0
2,4.5,0.96,6,2.75,4,6,6,4,0
1,5.0,0.97,5,0.0,0,1,1,1,0
1,6.0,0.92,6,0.0,0,2,2,1,0
1,7.0,0.99,7,0.0,0,3,3,1,0
1,3.5,0.99,7,5.25,6,3,3,4,1
2,3.83,0.97,7,4.14,6,4,4,6,1
1,4.4,0.98,6,1.84,4,8,8,5,0
2,4.0,0.97,7,2.29,5,6,6,7,1
2,4.12,0.95,7,3.86,6,10,10,8,1
2,4.0,1.0,7,3.75,6,7,7,8,1
1,1.0,1.0,1,0.0,0,0,0,2,0
2,4.0,1.0,7,4.75,6,10,10,8,1
1,3.25,1.0,6,3.69,5,3,3,4,0
1,1.0,-0.0,1,0.0,0,0,0,1,0
1,4.14,1.0,6,2.12,4,7,7,7,1
1,1.5,0.92,2,0.25,1,1,1,2,0
2,2.78,0.94,6,2.4,5,6,6,9,1
2,4.67,0.99,7,2.67,5,11,11,9,1
2,4.88,0.99,7,2.86,6,12,12,8,1
2,5.25,0.99,7,4.19,6,11,11,8,1
2,3.83,0.89,6,3.47,5,8,8,6,1
2,4.0,0.97,7,4.5,6,7,7,8,1
1,3.5,0.99,6,2.75,4,4,4,4,0
1,5.0,0.97,5,0.0,0,2,2,1,0
2,5.0,1.0,7,3.0,5,13,13,8,1
2,4.56,1.0,7,4.47,6,10,10,9,1
1,5.5,0.99,6,0.25,1,2,2,2,0
1,6.0,0.65,6,0.0,0,2,2,1,0
1,4.17,0.86,7,3.14,5,8,8,6,1
2,4.25,1.0,7,2.44,5,8,8,8,1
1,4.43,0.98,7,1.67,4,9,9,7,1
2,3.67,0.99,6,3.56,5,9,9,6,1
2,3.71,1.0,6,3.63,5,7,7,7,1
2,5.14,0.99,7,3.55,6,9,9,7,1
2,3.57,0.99,7,4.24,6,9,9,7,1
2,3.9,0.99,7,4.49,6,11,11,10,1
1,4.0,0.98,5,0.67,2,3,3,3,0
1,2.33,0.99,3,0.89,2,2,2,3,1
1,2.25,0.92,3,0.19,1,1,1,4,1
2,2.89,1.0,5,1.43,4,8,8,9,1
1,3.5,0.86,5,2.25,3,3,3,2,0
1,2.67,1.0,4,1.56,3,3,3,3,1
2,3.43,0.98,6,2.82,5,6,6,7,1
1,3.33,0.97,7,6.89,6,3,3,3,0
1,3.88,0.99,5,1.36,3,10,10,8,1
2,4.33,0.94,7,6.0,6,12,12,9,1
2,3.75,1.0,7,4.44,6,8,8,8,1
1,2.0,1.0,2,0.0,0,0,0,1,0
1,3.8,0.95,5,0.56,2,8,8,5,1
1,3.2,1.0,6,2.96,5,3,3,5,1
1,3.0,0.99,4,0.67,2,2,2,3,0
2,4.0,1.0,7,5.0,6,4,4,4,1
2,4.38,0.99,7,3.73,6,8,8,8,1
1,4.88,0.99,7,2.11,4,9,9,8,0
2,4.67,0.75,6,1.56,3,4,4,3,0
1,3.67,0.99,6,4.22,5,4,4,3,1
2,3.67,0.99,6,3.56,5,5,5,6,1
1,4.0,0.98,6,1.33,4,7,7,6,0
2,4.14,0.99,7,4.98,6,9,9,7,1
2,4.43,0.96,7,3.67,6,10,10,7,1
2,3.89,1.0,7,2.99,6,8,8,9,1
2,4.17,0.99,7,3.81,6,5,5,6,1
2,4.4,0.98,7,4.64,6,7,7,5,1
1,4.6,0.97,7,2.64,5,3,3,5,1
2,2.57,0.96,5,1.96,4,5,5,7,1
1,2.0,-0.0,2,0.0,0,1,1,1,0
1,5.4,1.0,7,3.44,5,8,8,5,0
2,3.86,0.99,6,3.27,5,8,8,7,1
1,6.0,0.81,7,1.0,2,3,3,2,0
2,4.33,0.96,6,3.56,5,7,7,6,1
2,3.67,1.0,6,3.89,5,5,5,6,1
2,3.0,0.99,5,1.67,4,4,4,6,1
2,3.67,1.0,6,2.67,5,10,10,9,1
1,6.0,1.0,7,1.5,3,4,4,4,0
1,6.33,0.74,7,0.89,2,7,7,3,0
2,4.1,0.98,7,4.49,6,12,12,10,1
2,3.4,0.98,7,5.44,6,5,5,5,1
2,4.6,0.89,7,4.24,6,8,8,5,1
2,3.5,1.0,5,1.92,4,6,6,6,1
2,4.11,1.0,7,3.88,6,7,7,9,1
1,5.0,0.99,7,2.33,4,8,8,6,0
1,3.25,0.96,6,2.69,4,4,4,4,0
2,3.4,0.94,6,3.44,5,5,5,5,1
2,2.5,0.97,6,4.25,5,2,2,4,1
2,4.67,1.0,7,2.22,5,11,11,9,1
2,4.0,0.99,7,4.33,6,6,6,6,1
1,3.0,0.99,4,2.0,3,2,2,3,0
1,2.67,0.95,6,5.56,5,1,1,3,1
2,4.33,1.0,7,3.11,5,13,13,9,1
1,2.5,0.97,4,2.25,3,1,1,2,0
2,5.0,0.97,7,3.71,6,10,10,7,1
2,4.0,1.0,7,3.33,6,13,13,9,1
1,4.83,1.0,7,4.47,6,8,8,6,1
2,3.43,0.98,6,3.96,5,6,6,7,1
2,5.0,0.99,7,2.67,6,11,11,9,1
2,3.83,0.99,7,5.47,6,7,7,6,1
1,5.43,0.98,7,4.53,6,12,12,7,1
1,3.83,1.0,7,3.14,5,7,7,6,0
2,4.71,1.0,7,3.63,6,10,10,7,0
2,4.6,1.0,6,3.84,5,5,5,5,0
2,3.86,0.95,7,3.27,6,7,7,7,1
2,3.6,1.0,6,2.64,5,9,9,10,1
2,3.57,1.0,7,3.96,6,8,8,7,1
1,4.0,0.81,4,0.0,0,1,1,1,0
2,4.0,0.99,7,3.33,6,10,10,9,1
1,3.5,0.99,4,0.25,1,1,1,2,0
2,3.56,1.0,6,2.91,5,8,8,9,1
1,5.75,0.99,7,1.69,3,5,5,4,0
2,3.57,0.94,6,3.67,5,7,7,7,1
2,3.89,0.93,6,2.54,5,12,12,9,1
1,4.33,0.98,7,3.89,6,7,7,6,0
1,3.67,0.99,6,2.89,4,5,5,3,0
1,4.5,0.99,5,0.25,1,1,1,2,0
2,3.33,0.88,5,2.89,4,3,3,3,0
1,4.38,0.99,7,3.73,5,12,12,8,1
1,5.0,-0.0,5,0.0,0,2,2,1,0
2,3.78,1.0,7,2.62,5,9,9,9,1
1,1.0,-0.0,1,0.0,0,0,0,1,0
2,4.0,0.95,6,4.0,4,3,3,2,0
1,4.4,0.95,7,4.24,5,5,5,5,1
2,4.11,1.0,6,2.54,5,10,10,9,1
1,4.67,1.0,7,3.89,6,8,8,6,0
1,4.33,0.96,6,5.56,5,3,3,3,0
1,4.83,1.0,7,2.81,4,7,7,6,1
1,2.0,0.81,3,1.0,2,1,1,2,0
2,5.33,0.98,7,4.0,5,15,15,9,1
1,4.22,0.95,7,3.06,6,12,12,9,1
1,4.11,1.0,7,3.21,6,10,10,9,1
1,4.67,1.0,6,0.89,2,6,6,3,0
2,4.67,0.99,7,3.56,6,10,10,9,1
1,2.83,0.94,4,0.47,2,2,2,6,1
1,6.5,0.96,7,0.25,1,2,2,2,0
1,4.6,0.97,6,1.84,3,6,6,5,0
2,4.56,0.98,7,2.91,6,12,12,9,1
2,4.2,0.99,7,6.16,6,8,8,5,1
2,3.29,0.89,6,3.35,5,6,6,7,1
1,4.4,0.99,7,3.84,6,7,7,5,1
1,5.29,1.0,7,1.06,3,12,12,7,0
2,3.33,0.99,6,3.11,5,8,8,9,1
2,3.33,0.93,6,2.89,5,4,4,6,1
2,4.89,0.99,7,3.88,6,12,12,9,1
2,4.0,0.95,7,9.0,6,2,2,2,0
1,3.0,0.99,4,2.0,3,3,3,3,0
2,4.29,1.0,7,4.78,6,6,6,7,1
2,3.5,0.86,6,2.25,5,7,7,6,1
1,4.5,0.99,7,3.92,5,8,8,6,1
2,3.0,1.0,6,3.11,5,8,8,9,1
2,4.9,0.96,7,4.09,6,14,14,10,1
1,3.5,0.96,7,3.92,6,6,6,6,1
1,3.4,0.98,6,2.24,4,5,5,5,1
2,5.0,0.92,7,4.33,5,8,8,6,1
1,4.5,0.92,7,6.25,5,2,2,2,0
2,4.0,1.0,6,2.0,5,9,9,8,1
1,5.5,0.99,6,0.25,1,4,4,2,0
2,4.11,1.0,7,3.88,6,12,12,9,1
2,4.0,0.54,7,9.0,6,2,2,2,0
1,4.0,1.0,4,0.0,0,2,2,1,0
2,4.2,0.99,7,2.96,6,14,14,10,1
1,1.0,-0.0,1,0.0,0,0,0,1,0
2,3.0,1.0,5,4.0,4,1,1,2,0
1,4.0,0.81,4,0.0,0,1,1,1,0
1,4.78,0.99,7,2.84,6,11,11,9,1
2,3.8,1.0,7,4.36,6,7,7,10,1
1,2.5,0.97,4,2.25,3,1,1,2,0
2,3.83,1.0,7,6.81,6,6,6,6,1
2,3.5,0.9,5,2.05,4,12,12,10,1
1,6.0,0.96,7,2.0,3,6,6,3,0
2,4.25,1.0,6,2.94,5,11,11,8,1
3,3.0,0.65,7,4.33,6,5,5,6,1
2,4.0,0.95,7,4.6,6,9,9,10,1
1,2.0,1.0,2,0.0,0,0,0,1,0
1,5.4,1.0,7,2.64,4,8,8,5,1
2,4.25,0.94,7,5.19,6,8,8,8,1
1,5.5,0.99,7,2.25,3,4,4,2,0
1,3.0,0.92,3,0.0,0,0,0,1,0
1,6.5,0.78,7,0.25,1,5,5,2,0
1,4.71,0.92,7,4.49,6,8,8,7,1
1,2.4,0.98,4,1.04,3,4,4,5,1
1,5.0,0.72,7,2.67,4,5,5,3,0
2,3.86,1.0,6,1.55,4,10,10,7,1
2,4.57,0.97,6,2.82,5,10,10,7,1
1,4.29,0.92,7,4.2,5,11,11,7,1
1,3.0,0.92,3,0.0,0,0,0,1,0
1,5.2,1.0,7,3.76,5,9,9,5,0
2,3.78,0.96,7,4.17,6,7,7,9,1
2,4.86,0.99,7,5.55,6,11,11,7,1
2,3.29,0.99,7,3.63,6,6,6,7,1
2,4.88,0.98,7,3.61,5,15,15,8,1
1,5.25,0.99,7,3.19,6,13,13,8,1
1,1.5,0.92,2,0.25,1,1,1,2,0
1,4.0,-0.0,4,0.0,0,2,2,1,0
3,3.71,0.78,7,3.92,6,8,8,7,1
1,4.0,1.0,6,4.67,5,2,2,3,0
1,4.6,0.99,7,2.04,5,10,10,10,1
2,3.14,0.98,6,2.98,5,7,7,7,1
1,3.5,0.99,5,2.25,3,2,2,2,0
1,3.4,0.94,5,1.04,3,5,5,5,0
1,4.5,0.98,7,3.58,5,4,4,6,1
1,3.89,0.99,7,1.88,5,11,11,9,1
2,4.43,0.98,7,3.96,6,11,11,7,1
2,3.67,1.0,7,6.56,6,4,4,6,1
2,4.0,1.0,7,3.5,5,3,3,4,1
1,1.67,0.97,2,0.22,1,2,2,3,1
1,3.0,0.92,6,4.67,5,3,3,3,1
1,6.0,0.65,6,0.0,0,2,2,1,0
2,4.25,0.98,7,3.19,6,9,9,8,1
2,3.67,1.0,6,2.0,5,10,10,9,1
1,5.29,1.0,7,2.78,5,11,11,7,0
1,5.11,0.99,7,1.21,4,15,15,9,0
2,4.22,0.99,7,3.51,5,11,11,9,1
1,4.0,0.95,5,1.0,2,2,2,2,0
1,5.0,0.72,5,0.0,0,1,1,1,0
2,4.0,1.0,7,3.43,6,9,9,7,1
2,4.44,0.98,7,5.58,6,9,9,9,1
2,2.8,0.94,5,2.56,4,2,2,5,1
2,3.88,1.0,7,4.11,6,10,10,8,1
1,2.0,-0.0,2,0.0,0,1,1,1,0
1,1.0,-0.0,1,0.0,0,0,0,1,0
2,2.0,1.0,4,1.5,3,1,1,4,1
2,4.0,0.99,7,6.5,6,5,5,4,1
1,5.5,0.99,7,1.92,4,11,11,6,1
1,5.0,0.97,7,1.6,3,9,9,5,0
1,6.0,0.98,6,0.0,0,2,2,2,0
2,3.86,0.98,7,3.84,6,6,6,7,1
2,3.83,0.99,6,3.47,5,7,7,6,1
2,2.2,0.95,4,0.96,3,3,3,5,1
2,3.0,0.92,4,2.0,3,1,1,3,0
2,4.8,0.99,7,5.56,6,11,11,10,1
2,3.83,0.93,7,3.81,5,5,5,6,1
1,4.9,1.0,7,2.09,4,14,14,10,0
1,5.0,0.99,7,3.2,4,8,8,5,0
1,4.8,0.95,7,2.56,4,9,9,5,0
1,4.0,1.0,7,3.43,6,7,7,7,1
1,3.0,0.99,6,4.67,5,2,2,3,0
2,4.71,0.97,7,2.78,5,6,6,7,1
1,4.78,1.0,7,1.95,5,12,12,9,1
2,3.0,0.98,6,3.5,5,2,2,4,0
2,3.83,0.93,7,4.47,6,9,9,6,1
2,3.5,0.86,6,6.25,5,1,1,2,0
2,4.33,0.98,7,3.22,5,9,9,6,1
2,4.56,0.99,7,3.8,6,12,12,9,1
1,4.0,1.0,6,1.5,3,4,4,4,0
2,3.67,0.99,6,2.44,5,10,10,9,1
1,3.5,0.59,4,0.25,1,3,3,2,0
1,4.7,1.0,7,2.21,5,15,15,10,1
1,5.6,1.0,7,1.84,4,8,8,5,0
1,3.67,0.99,6,2.89,4,4,4,3,0
1,3.88,1.0,6,2.36,5,8,8,8,1
1,4.6,0.99,7,1.64,4,15,15,10,1
1,4.33,1.0,6,2.89,4,3,3,3,0
1,5.0,1.0,7,5.14,6,11,11,7,1
1,4.0,0.98,6,4.33,5,5,5,6,1
1,5.44,0.99,7,3.8,5,11,11,9,1
1,4.0,0.92,5,0.67,2,3,3,3,0
1,3.75,0.84,7,3.69,5,3,3,4,1
1,1.0,-0.0,1,0.0,0,0,0,1,0
1,5.4,1.0,7,2.64,4,10,10,5,1
1,3.5,0.86,6,6.25,5,2,2,2,0
2,3.4,0.94,7,4.24,6,5,5,5,1
1,3.0,1.0,7,5.5,6,4,4,4,1
2,3.38,0.92,6,2.73,5,5,5,8,1
2,2.33,0.86,4,1.56,3,2,2,3,1
2,2.5,0.97,4,1.25,3,2,2,4,0
2,3.25,1.0,6,3.69,5,5,5,4,1
1,4.33,1.0,5,0.89,2,3,3,3,0
1,5.5,0.99,7,1.25,3,7,7,4,0
1,4.0,1.0,5,1.0,2,4,4,4,0
